episode,timestep,reward
0,0,-973.7483478593974
1,512,-24104.80331905281
2,1024,-6529.87974920915
3,1536,-22.521108609793146
4,2048,16.359469658241437
5,2560,-1298.7479582621263
6,3072,-3666.9954033245167
7,3584,-3032.69091225226
8,4096,-553.6219176918949
9,4608,19.409182738840336
10,5120,22.34617002984643
11,5632,23.546889352653206
12,6144,30.806021972456193
13,6656,27.905678951225585
14,7168,26.9791644468075
15,7680,31.417544999602004
16,8192,26.344825752635266
17,8704,16.68431342313888
18,9216,30.170376925452064
19,9728,31.780596947450128
20,10240,32.34043359870736
21,10752,29.885052664259735
22,11264,37.67194055742948
23,11776,24.895971565321727
24,12288,32.21896209135572
25,12800,32.70826157305689
26,13312,40.132803200769985
27,13824,35.274434269579544
28,14336,-43.647858624921604
29,14848,37.283034436403526
30,15360,32.177018890244206
31,15872,35.77475152545336
32,16384,38.21839869482883
33,16896,39.68472614431852
34,17408,34.44213637427121
35,17920,41.948865288884285
36,18432,34.49762988054747
37,18944,37.988780563738956
38,19456,35.70599163031254
39,19968,41.02762012772607
40,20480,34.42648921493818
41,20992,40.953615928604236
42,21504,34.18133881631094
43,22016,36.306873446891956
44,22528,33.70998790865856
45,23040,32.94901137136622
46,23552,40.124822406527024
47,24064,42.099367483415286
48,24576,44.869356935168014
49,25088,39.972163956846956
50,25600,36.23346807293169
51,26112,32.38926584305223
52,26624,41.32840918290185
53,27136,44.61122796286765
54,27648,39.40115782685296
55,28160,43.52653299416719
56,28672,37.36583325951104
57,29184,41.88068011661047
58,29696,36.246538190735166
59,30208,37.87995396054052
60,30720,39.291999764431814
61,31232,36.74491690268039
62,31744,42.58093745562278
63,32256,44.13521609378403
64,32768,42.182472194647346
65,33280,42.22330658553297
66,33792,45.389673441711686
67,34304,33.05100844077191
68,34816,40.411474069118796
69,35328,37.62518915893111
70,35840,36.22320837393466
71,36352,37.875748474353955
72,36864,37.434910786742336
73,37376,41.27306117376541
74,37888,38.939626259660635
75,38400,44.435643093682046
76,38912,47.766779239097666
77,39424,37.2287000238171
78,39936,35.17561578625389
79,40448,34.80525514617102
80,40960,41.978815142611545
81,41472,36.30044586775774
82,41984,39.339355582788976
83,42496,38.77267894419803
84,43008,37.945206509725345
85,43520,40.98293214012755
86,44032,44.64983555231609
87,44544,43.00933092107817
88,45056,40.70942364663187
89,45568,42.38642594152758
90,46080,41.45980675699225
91,46592,40.261934411780494
92,47104,37.75634354278644
93,47616,43.13549320246989
94,48128,43.50264938618492
95,48640,36.16595717803809
96,49152,40.35619738004724
97,49664,43.029788873191194
98,50176,40.142577640423184
99,50688,43.736925979668136
