episode,timestep,reward
0,0,-52672.637036273205
1,512,-89.84293219033914
2,1024,5.6348304276735774
3,1536,-5.003900642039977
4,2048,14.843175428120484
5,2560,18.283588661232347
6,3072,17.76563018979178
7,3584,20.85836829149551
8,4096,21.46105552193922
9,4608,16.73411059245845
10,5120,13.155063197800267
11,5632,19.284222804696444
12,6144,23.10047796356414
13,6656,27.48305132510051
14,7168,22.558790848647146
15,7680,27.49118587177263
16,8192,19.248750324760845
17,8704,24.346095022996938
18,9216,29.783017123507246
19,9728,24.47323065942089
