episode,timestep,reward
0,0,-39047.23297551906
1,512,-88.41516026657038
2,1024,19.337631815133687
3,1536,14.464084324285665
4,2048,17.884103358369508
5,2560,-10.074545308023344
6,3072,-142.66922080204776
7,3584,-8.574077503680574
8,4096,23.796292562856358
9,4608,20.553765411921656
10,5120,20.783461670103826
11,5632,17.443827812728593
12,6144,0.17839718642474933
13,6656,9.868436144259503
14,7168,23.39736240304915
15,7680,22.91486465950014
16,8192,21.094476251003517
17,8704,10.75603997898208
18,9216,17.05035918346397
19,9728,25.038104857465747
20,10240,22.542125325927703
21,10752,24.000581944799187
22,11264,25.340500610130665
23,11776,24.803414571933583
24,12288,19.456403855942913
25,12800,12.882153695170196
26,13312,18.96869392867289
27,13824,27.517821209348497
28,14336,26.873547755539136
29,14848,27.034323202235882
30,15360,27.58265922183086
31,15872,33.33058129168969
32,16384,32.398033629177746
33,16896,30.90147672468506
34,17408,25.9970197347558
35,17920,28.333979789621793
36,18432,28.275383034309865
37,18944,31.298542776664465
38,19456,26.406305923941655
39,19968,32.964262529976025
40,20480,28.22568244618562
41,20992,30.826313724668488
42,21504,35.23535013098319
43,22016,27.439764071631316
44,22528,36.66364126164637
45,23040,35.03359522159553
46,23552,29.11016727040603
47,24064,34.099108797983774
48,24576,31.828821247901075
49,25088,28.257900559264844
50,25600,39.47323863174955
51,26112,30.168322848422154
52,26624,33.94465207713451
53,27136,31.893913424164953
54,27648,36.83381272380555
55,28160,37.23394408923009
56,28672,30.794647602298518
57,29184,30.46226816058706
58,29696,29.476762807726022
59,30208,35.53999634917717
60,30720,35.89051559369884
61,31232,33.919036646940214
62,31744,29.031948661715692
63,32256,31.805196854776657
64,32768,33.833078677081566
65,33280,25.635982092431956
66,33792,28.854339090574214
67,34304,34.35509646587711
68,34816,34.16640766138762
69,35328,32.73696706637894
70,35840,34.7995037198486
71,36352,33.115181695663594
72,36864,32.51784365477972
73,37376,31.197409459209155
74,37888,33.35058134747389
75,38400,34.42651442369809
76,38912,33.47284154736638
77,39424,35.7286467672992
78,39936,33.49183210517976
79,40448,33.83978575746844
80,40960,36.148022881989455
81,41472,22.4873383150268
82,41984,35.876519262203104
83,42496,31.0097604275725
84,43008,26.694091959893886
85,43520,28.512162936283215
86,44032,33.863145013204075
87,44544,39.215090504568806
88,45056,38.297152642686406
89,45568,35.162477655421974
90,46080,33.52792914956526
91,46592,36.87084893595499
92,47104,35.78855452674751
93,47616,35.85476108766287
94,48128,40.32632728597823
95,48640,37.768800742697
96,49152,38.12542310753443
97,49664,35.74771034672525
98,50176,36.63256374806593
99,50688,37.14188137778408
