episode,timestep,reward
0,0,-9.673873101736138
1,512,-56699.108392314745
2,1024,-20189.29433220943
3,1536,-92.78843393955421
4,2048,20.60075123280491
5,2560,-1545.3639493946025
6,3072,-4903.561358824035
7,3584,-3363.8745571830127
8,4096,-983.4924381169892
9,4608,-48.819282975347974
10,5120,22.173684287528452
11,5632,31.203108213991985
12,6144,28.121632536763745
13,6656,28.180074737049406
14,7168,31.030870041291386
15,7680,36.3298419949531
16,8192,25.53773004042015
17,8704,32.211511375535146
18,9216,25.02205142554046
19,9728,29.558918667437588
