episode,timestep,reward
0,0,-18878.653605447354
1,512,-10036.716229791597
2,1024,-629.204062642529
3,1536,17.870200195831153
4,2048,-918.9397416118355
5,2560,-1947.5368465993888
6,3072,-728.8139273514879
7,3584,0.8350967500842557
8,4096,20.360805718309983
9,4608,24.04909802171287
10,5120,21.271521837294042
11,5632,28.401120116403845
12,6144,23.07474422555049
13,6656,24.912707432871724
14,7168,27.060635901154463
15,7680,23.573273418649777
16,8192,27.978499764556375
17,8704,27.34114347903532
18,9216,26.80679928593067
