episode,timestep,reward
0,0,-953.4220233511799
1,512,-71962.34804203018
2,1024,-24414.604537923013
3,1536,-431.0489335342344
4,2048,16.086225334491406
5,2560,15.745866978860604
6,3072,21.460305239456417
7,3584,24.618539540033797
8,4096,18.194229891462463
9,4608,19.86093559899716
10,5120,25.913807337806006
11,5632,25.363825928797443
12,6144,31.400552270907962
13,6656,29.828058209587564
14,7168,30.651325360305602
15,7680,23.83131262917234
16,8192,28.874509348066383
17,8704,-26.31996420805037
18,9216,25.19901832720846
19,9728,31.100205084937944
20,10240,29.517901657186357
21,10752,12.980842491397722
22,11264,8.507116515400428
23,11776,-1.6815911187104873
24,12288,31.207377333761293
25,12800,33.26776031405606
26,13312,32.21543764178351
27,13824,33.81574865196825
28,14336,30.92335252928322
29,14848,26.299142631418675
30,15360,28.927243302319685
31,15872,39.12036505356174
32,16384,32.024080566875334
33,16896,40.60417065091074
34,17408,42.76902555862035
35,17920,29.40008612823142
36,18432,37.50334894709479
37,18944,38.94389578064055
38,19456,42.00302554149274
39,19968,35.68329568358262
40,20480,38.539785415067826
41,20992,38.51466175916495
42,21504,40.345319364783975
43,22016,32.611819238905106
44,22528,37.69518675598745
45,23040,36.458170265863956
46,23552,40.0492108405036
47,24064,41.705083498011774
48,24576,37.95158734422235
49,25088,39.527532951080794
50,25600,38.067698588736846
51,26112,21.942733987168733
52,26624,28.09360875620141
53,27136,36.74063716213086
54,27648,38.092351453755086
55,28160,40.59309551946614
56,28672,33.95596509887954
57,29184,43.215350749585646
58,29696,41.167934223344034
59,30208,41.982684592890614
60,30720,33.43008338368166
61,31232,43.04402992977806
62,31744,34.60587382096807
63,32256,47.40135278875914
64,32768,44.648468140916385
65,33280,42.74248676062195
66,33792,46.93101288721003
67,34304,36.293511990936025
68,34816,39.208379251546035
69,35328,42.2348380653879
70,35840,41.50558457403422
71,36352,44.21060693708874
72,36864,41.226845802513544
73,37376,42.748913869380694
74,37888,37.42199401826257
75,38400,37.44999966501153
76,38912,32.72247440371891
77,39424,43.783572208884145
78,39936,31.779880029312476
79,40448,41.20901409360354
80,40960,39.23065284572808
81,41472,44.70467766416682
82,41984,40.851474872078384
83,42496,47.802593616923865
84,43008,39.89025724866582
85,43520,44.46849909437127
86,44032,44.517148168415034
87,44544,40.58755467859899
88,45056,53.1463996380656
89,45568,33.933054346930966
90,46080,34.873037066220455
91,46592,39.49889864774165
92,47104,40.4855962602639
93,47616,41.76146480348506
94,48128,38.4550307985557
95,48640,40.889651315543816
96,49152,40.232875523533
97,49664,42.74097461355882
98,50176,45.18862692451934
99,50688,51.838044451903
100,51200,42.64670173702816
101,51712,39.7286856084223
102,52224,33.95736743849823
103,52736,44.37510023342414
104,53248,39.82690015562394
105,53760,44.84497856551603
106,54272,39.085571584406495
107,54784,43.12238123025155
108,55296,41.73318903600999
109,55808,43.03689878093578
110,56320,42.09105240206085
111,56832,44.40418782895339
112,57344,43.92646861431306
113,57856,35.95995890270567
114,58368,37.18727450321002
115,58880,40.30825210854155
116,59392,45.51323462781433
117,59904,40.969025145512234
118,60416,42.065896592110484
119,60928,48.51414622928937
120,61440,44.57944648751632
121,61952,40.346118153155246
122,62464,44.93950422186724
123,62976,50.518576582170475
124,63488,38.7597278028791
125,64000,44.54494089005616
126,64512,42.01693698414137
127,65024,51.78207748952785
128,65536,40.994792287944925
129,66048,43.412188003738734
130,66560,43.24426954921521
131,67072,39.72342931659337
132,67584,37.52538027249889
133,68096,37.62108956941724
134,68608,47.7621480417029
135,69120,38.19352936570536
136,69632,54.079944533351245
137,70144,47.21018443317483
138,70656,44.200400375642694
139,71168,39.9581028390925
140,71680,44.476436446079035
