episode,timestep,reward
0,0,-25074.758133399257
1,512,-613.8392631901929
2,1024,11.620463705965197
3,1536,-104.27505095711724
4,2048,-42.31198074456491
5,2560,17.789286727533593
6,3072,16.788236793799566
7,3584,18.645792792672367
8,4096,21.397461280941954
9,4608,20.398018339867516
10,5120,18.685560715036083
11,5632,24.27328128654996
12,6144,17.897759739679973
13,6656,-76.46156175386375
14,7168,-2.8357648479983752
15,7680,20.285795419972334
16,8192,23.41663661862173
17,8704,26.372657321539887
18,9216,22.10256889817026
19,9728,25.57524412496343
20,10240,26.4851770170096
21,10752,23.166714981999828
22,11264,26.985711194053728
23,11776,23.508751613526883
24,12288,31.882816551764424
25,12800,31.44433213864446
26,13312,26.92957896408049
27,13824,23.7420519828667
28,14336,31.362138573457557
29,14848,-23.85420377889408
30,15360,-65.87912222629184
31,15872,-70.59058488870836
32,16384,32.11112902934426
33,16896,27.2337036965833
34,17408,33.6983792523877
35,17920,30.51482532106125
36,18432,32.75175818627217
37,18944,29.307935133462177
38,19456,15.841413765183075
39,19968,-23.306001037861286
40,20480,-117.15606367440947
41,20992,19.30825203119428
42,21504,32.78170047854707
43,22016,38.20005621431417
44,22528,31.359746096233046
45,23040,26.68552445016634
46,23552,28.86075462584783
47,24064,33.11507657343808
48,24576,37.844082099362595
49,25088,32.779128576522
50,25600,34.75291696743988
51,26112,27.660193504600684
52,26624,36.82126103573332
53,27136,34.17753546986369
54,27648,30.389840101708625
55,28160,32.36266825952008
56,28672,33.529019281016915
57,29184,31.769652500141465
58,29696,38.235051142612214
59,30208,34.561901950235274
60,30720,29.356195092407305
61,31232,33.48154007465355
62,31744,31.491461524028757
63,32256,34.99988058421692
64,32768,35.28696279748183
65,33280,30.384113697560068
66,33792,36.76343236719355
67,34304,34.02686813389856
68,34816,31.5839317127742
69,35328,33.65604774130588
70,35840,33.33947103214012
71,36352,37.449028882963525
72,36864,37.3063126284105
73,37376,43.15346986953728
74,37888,32.74038189192428
75,38400,39.881676288058635
76,38912,32.66854461504267
77,39424,39.071611421327596
78,39936,30.480315757619532
79,40448,38.75700942146598
80,40960,37.61096881474689
81,41472,35.443849053874715
82,41984,46.60818140934982
83,42496,35.40470311036933
84,43008,35.4681997492084
85,43520,31.589005396142312
86,44032,35.20646950151658
87,44544,41.667093773252084
88,45056,39.90577558433287
89,45568,39.428044963974415
90,46080,35.585309368200335
91,46592,37.585080260002876
92,47104,38.69419525298236
93,47616,33.72636267408328
94,48128,38.159456390581916
95,48640,35.51974828793997
96,49152,34.55683315726085
97,49664,34.2663612728848
98,50176,41.163528890198535
99,50688,37.27480347794356
100,51200,39.57724720247251
101,51712,38.25537886006279
102,52224,36.38668499083246
103,52736,35.48709706558229
104,53248,34.407548482802774
105,53760,44.129705577902946
106,54272,30.9769592467443
107,54784,35.47476074608783
108,55296,42.559744618075
109,55808,46.37803632862979
110,56320,37.40199816918936
111,56832,35.471958213556064
112,57344,41.98209804708588
113,57856,43.79974610477724
114,58368,41.66533281254466
115,58880,40.352467941267086
116,59392,32.45486329950722
117,59904,36.93377464215048
118,60416,37.09062924501956
119,60928,41.747966006560006
120,61440,32.94303830456044
121,61952,40.64486786457628
122,62464,38.71881324626995
123,62976,37.38446859316289
124,63488,38.781055296205395
125,64000,38.647333002296975
126,64512,39.901847026938626
127,65024,42.82106597619338
128,65536,36.882310571337065
129,66048,38.03269187431525
130,66560,39.209191905442964
131,67072,34.336121463875266
132,67584,39.43209328977787
133,68096,37.29443292134729
134,68608,34.518727013166796
135,69120,40.638690342438125
136,69632,45.64435730014458
137,70144,37.41183597203658
138,70656,40.56388462930933
139,71168,33.85146357031076
140,71680,36.30862701021541
141,72192,34.70383578837948
142,72704,37.454306635672644
143,73216,40.44562037499892
144,73728,35.759016149888424
145,74240,39.05501102089876
146,74752,34.873022836751844
147,75264,36.28884185776622
148,75776,38.425660657854934
149,76288,40.35023454107013
150,76800,36.63460287888017
151,77312,49.98643100848246
152,77824,42.53949373496589
153,78336,42.53581314453213
154,78848,42.56230247879014
155,79360,37.87883144562708
156,79872,35.156034243844495
157,80384,36.898694358234614
158,80896,32.52865704453712
159,81408,39.31351943530022
160,81920,41.09559803872796
161,82432,43.26194279876391
162,82944,37.92536505135953
163,83456,42.16407519274803
164,83968,39.746821428146305
165,84480,40.93747988582589
166,84992,39.661121428570425
167,85504,40.15647316213193
168,86016,41.30182008509138
169,86528,42.02885926771841
170,87040,35.38445460631492
171,87552,42.60221425079508
172,88064,39.92968277061161
173,88576,34.862602192227456
174,89088,42.786121434873955
175,89600,35.29947648013171
176,90112,32.89189588082252
177,90624,42.239685204431765
178,91136,40.21575060642979
179,91648,41.376152962290526
180,92160,37.54742756411742
181,92672,44.07535558875691
182,93184,41.55537082016405
183,93696,39.512259010747
184,94208,35.47570727961416
185,94720,44.22443481157591
186,95232,39.738970164689675
187,95744,35.70839300844757
188,96256,38.86150464006669
189,96768,38.909932642323874
190,97280,38.01335005073216
191,97792,34.6642060760535
192,98304,37.91843801332515
193,98816,37.96171542458717
194,99328,39.453568070201165
195,99840,38.46793294337132
196,100352,33.661592053324696
197,100864,40.13460103916245
198,101376,38.19099894044166
199,101888,34.43047183926129
