date,net_profit,income_da,income_rt,cost_degradation
2022-01-01,60.39762466801522,16.91712060004303,62.45417002898247,18.973665961010276
2022-01-02,143.73016534797796,-63.057499212713665,244.7349964827122,37.94733192202056
2022-01-03,456.5746652490601,-123.01185477135024,639.7838519424309,60.19733192202056
2022-01-04,417.11132446314446,-79.86479996565879,553.6734563508238,56.69733192202056
2022-01-05,371.9239350722717,29.722294975427857,390.42530605785413,48.223665961010276
2022-01-06,371.0820281078053,125.65770735054528,288.42432075726003,43.0
2022-01-07,1242.6194420374782,168.22538604505337,1144.394055992425,70.0
2022-01-08,636.7426386589683,30.17839503783486,662.7879095821437,56.22366596101028
2022-01-09,238.27167074408356,0.8069666119039489,287.46470413217963,50.0
2022-01-10,1734.5911543027028,49.576328711195366,1745.212157513528,60.19733192202056
2022-01-11,5939.054554177006,-239.3603619455364,6257.362248044563,78.94733192202057
2022-01-12,748.2595181977043,55.52105241748161,747.712131741233,54.97366596101028
2022-01-13,1438.577750704889,37.222910396095855,1428.8548403087932,27.5
2022-01-14,264.24001894325966,128.84042626055293,173.34692460472726,37.94733192202056
2022-01-15,2836.1878845647775,-343.296086002788,3263.4839705675654,84.0
2022-01-16,5526.83186825191,-137.82777409427825,5761.606974268209,96.94733192202057
2022-01-17,1235.9161253636578,74.45000120285255,1230.742458199795,69.2763340389897
2022-01-18,398.1136133123317,188.694485768299,257.642793505043,48.223665961010276
2022-01-19,334.44151461427873,64.66103014665168,302.25415042863733,32.473665961010276
2022-01-20,353.6463027015153,216.8212627913841,181.7723718321518,44.94733192202056
2022-01-21,1050.032179171348,212.51481538031823,912.5173637910298,75.0
2022-01-22,1849.8377218091987,-211.80782435231728,2136.566544044547,74.92099788303085
2022-01-23,1005.8610046845665,121.62471475333032,953.9862899312361,69.75
2022-01-24,545.8137856181819,122.8076266294371,475.5061589887448,52.5
2022-01-25,429.5606949762207,75.562803069524,402.2478919066967,48.25
2022-01-26,454.3996680613225,288.60194135055104,223.04772671077146,57.25
2022-01-27,1799.540963369248,106.72737607489063,1756.7872532553677,63.97366596101027
2022-01-28,1332.182422706669,28.08685767853899,1351.2928969501506,47.19733192202057
2022-01-29,3246.9709472851528,-254.02573717563797,3580.4440163828112,79.44733192202057
2022-01-30,3505.824221213137,56.8465863495893,3543.977634863548,95.0
2022-01-31,5682.663333081938,-174.78277173979433,5948.117102704762,90.67099788303082
2022-02-01,571.6583030380011,154.95908700624386,459.19921603175726,42.5
2022-02-02,343.27926346114475,128.95173090572226,255.80119851643278,41.473665961010276
2022-02-03,201.8938551694712,154.4858722280057,77.6316489024758,30.223665961010276
2022-02-04,218.86482848995485,180.60521196181094,59.483282489154206,21.223665961010276
2022-02-05,356.869908264643,283.21870556222393,119.09853462443965,45.44733192202056
2022-02-06,912.9530401659031,-27.040498399359265,1005.9935385652624,66.0
2022-02-07,455.57866828301326,200.8713118679074,313.90468833712646,59.19733192202056
2022-02-08,225.00186005953356,84.70814808510718,166.76737793543666,26.473665961010276
2022-02-09,152.04646968725245,69.5046929412789,106.01544270698382,23.47366596101028
2022-02-10,122.26616756821898,75.96524509475017,65.27458843447907,18.973665961010276
2022-02-11,187.9424645152723,39.24685100540419,172.1692794708784,23.473665961010276
2022-02-12,143.24886236743518,58.973244009656405,122.22295027979935,37.94733192202056
2022-02-13,300.89914015581564,73.05821883586898,265.78825324196725,37.94733192202056
2022-02-14,592.0638009411006,42.257178322054614,619.2539545410665,69.44733192202057
2022-02-15,1050.7721460606047,26.781907411293794,1074.7139046103212,50.723665961010276
2022-02-16,342.7729474038342,55.06458860612179,314.1820247587227,26.473665961010276
2022-02-17,308.91025068212275,-57.33235417735247,404.18993678149576,37.94733192202056
2022-02-18,276.0017289631404,-69.58143253262025,395.58316149576063,50.0
2022-02-19,353.04663641415385,-117.66534642823154,523.659314764406,52.94733192202056
2022-02-20,161.59326868035225,76.15036105140959,115.66657358995295,30.223665961010276
2022-02-21,111.99630984280117,-85.23916762712234,218.45914343093378,21.223665961010276
2022-02-22,173.56695350330367,-97.19453528359557,308.26148878689924,37.5
2022-02-23,222.8555379595884,65.00619354439624,190.32301037620243,32.47366596101028
2022-02-24,998.9870343551445,70.52069104711168,1001.690009269043,73.22366596101028
2022-02-25,477.9122021556508,68.38404529678594,458.25182281987514,48.72366596101027
2022-02-26,145.4850780891513,78.89508625729675,85.56365779286483,18.973665961010276
2022-02-27,126.18488301935935,97.64329003395439,49.76525894641525,21.22366596101028
2022-02-28,152.91882424049132,97.26531820523736,81.37717199626424,25.723665961010283
