Date,Dual_Market_Rev,DA_Only_Rev,RT_Only_Rev
2022-01-28,502.1277507796827,-98.53735540295501,619.0208100482074
2022-01-29,1025.6916898589363,54.256471951254255,1140.4761426569344
2022-01-30,1648.0046658124336,-189.9581770559967,1911.9743433757317
2022-01-31,3935.2333038638185,-130.86830080455402,2444.192430423658
2022-02-28,33.791069745375694,-6.72081777948425,33.66010324383965
2022-03-28,238.044718555954,-12.07765114609758,227.56570984978234
2022-03-29,343.9628487356072,45.93573647010956,292.53452957012
2022-03-30,185.21349173154871,39.890902015406716,165.84527614807277
2022-03-31,46.960224348452805,-6.907943955514412,38.033277176145354
2022-04-28,150.2812332147747,-24.54832768533683,233.5757934036114
2022-04-29,163.2412667450868,-10.891759233563207,137.79659410739467
2022-04-30,64.71824317749608,-14.306609951617979,51.22115085458349
2022-05-28,88.8200626973493,19.36199757874007,89.21300365792806
2022-05-29,173.2767175877217,46.9161601286479,154.8323361839028
2022-05-30,551.736813642328,46.80682704858052,624.7397347648586
2022-05-31,862.3194489624243,-102.75750258406302,717.5143214946816
2022-06-28,145.6170128186382,41.022450496359596,116.09981367313459
2022-06-29,296.4929050441887,-8.085906069013099,313.96398567202334
2022-06-30,288.55457185245245,44.0162753020092,291.8307671914197
2022-07-28,1192.3180648081322,-46.73949201322272,937.6451412959672
2022-07-29,353.35589646248485,-91.6679386800047,336.40486749752176
2022-07-30,518.136631821638,44.00527286810579,564.09352862448
2022-07-31,333.6856092491025,-26.92306674417778,352.20981281373884
2022-08-28,399.88638333899297,-18.13871885449626,416.2851843506528
2022-08-29,913.9586496662276,-50.24130110430197,688.9454829639828
2022-08-30,498.794541313244,-102.77084279595113,503.5507986876342
2022-08-31,566.969030283939,-23.03624661039852,478.53644587613246
2022-09-28,154.22689790023247,-6.494876529429391,136.2920920492054
2022-09-29,241.08481310102354,35.32827827724462,237.80651950011398
2022-09-30,71.01032322273404,41.174966579996095,57.627482588356784
2022-10-28,134.16057476982502,-1.0481100845277567,132.58994514635882
2022-10-29,180.95141430775178,48.66353774049949,245.98625862119565
2022-10-30,159.2788456642464,45.84828742560952,191.022836583389
2022-10-31,82.47887251032016,39.969490540910726,76.66820950057522
2022-11-28,217.57922471865598,40.68119055739461,221.10878102254375
2022-11-29,202.28644330701528,-48.470455452682245,169.77316482943553
2022-11-30,146.0207192658662,43.39669143460489,157.81847655812433
2022-12-28,468.8842119687018,-75.44372262202394,355.6456564180887
2022-12-29,56.090331328002115,53.79475286965519,44.2541767300559
2022-12-30,-22.63880547525496,40.717647306157595,-25.468744078361436
Average,440.3151678176788,-8.121204664203153,397.0721560268806
