Date,Max_DA_Profit,Max_RT_Profit
2022-01-28,195.5471188591257,748.5479561523999
2022-01-29,471.86323525870046,1789.944737214485
2022-01-30,579.294003501603,1979.8612334735856
2022-01-31,563.4500883855015,3095.655844647752
2022-02-28,138.29097800259098,113.94076174018585
2022-03-28,309.61715969177806,293.4202887458638
2022-03-29,258.97993670468486,478.3986815012607
2022-03-30,199.43276358799258,267.15203449955516
2022-03-31,137.3087906749899,198.43783415831584
2022-04-28,193.12286254426556,356.3779016206667
2022-04-29,190.95656267486206,279.85815852048137
2022-04-30,177.42026080807167,195.06524857785246
2022-05-28,137.8738020724673,112.2902581789942
2022-05-29,169.93352081717126,264.35745740260165
2022-05-30,298.37127853574566,749.5193004915329
2022-05-31,599.9238864889585,673.028662814882
2022-06-28,156.5285466109735,182.14617103596862
2022-06-29,261.424166331182,382.1600514754604
2022-06-30,370.8874827698204,318.65742808495224
2022-07-28,468.7906745034666,820.4252109758121
2022-07-29,380.2779568479474,404.21986403437205
2022-07-30,367.6344642289991,600.536001437768
2022-07-31,348.60066689077786,365.5751842248052
2022-08-28,357.6722620355834,416.7741834806664
2022-08-29,659.7983626729362,911.006857556384
2022-08-30,558.3202576832193,501.91399684483093
2022-08-31,363.0120287254631,496.0872507388738
2022-09-28,135.61750344936087,208.82135093082525
2022-09-29,160.9454805523925,317.3490422161658
2022-09-30,136.6132664545623,183.83403945197497
2022-10-28,207.49895124668288,219.61965136122504
2022-10-29,153.59608118869872,361.3580320483551
2022-10-30,166.63289789050023,263.0743682513367
2022-10-31,212.17122983247046,201.42637972780582
2022-11-28,161.69155410944646,245.94646951744494
2022-11-29,182.19143821580406,292.60578048320906
2022-11-30,155.38164723345943,236.3240144033529
2022-12-28,411.0963531114894,808.1967320746846
2022-12-29,167.33378786072498,102.01034979712752
2022-12-30,108.39103091988396,96.1881896385866
Average,281.83735849935886,513.30282398831
