Date,DA_Opt_Profit,DA_DDRL_Profit,DA_Percent (%),RT_Opt_Profit,RT_DDRL_Profit,RT_Percent (%)
2022-01-28,195.5471188591257,68.42342690956261,34.99076197530458,748.5479561523999,640.0845549197901,85.51015999160282
2022-01-29,471.86323525870046,75.21212553006262,15.939390889147646,1789.944737214485,969.1465023444819,54.143934289986476
2022-01-30,579.294003501603,158.47304922646387,27.35623850213484,1979.8612334735856,1574.4047407905653,79.5209641045568
2022-01-31,563.4500883855015,120.77914851913913,21.435642838430862,3095.655844647752,2109.5659719477403,68.1460109848801
2022-02-28,138.29097800259098,46.099079084214814,33.33484204830131,113.94076174018583,32.70231977174516,28.701159508056335
2022-03-28,309.61715969177806,51.99857138208383,16.794473353430437,293.4202887458638,204.1178263415782,69.5650008436765
2022-03-29,258.97993670468486,57.97128149686113,22.38446816942652,478.3986815012607,269.5541019641398,56.345076269494164
2022-03-30,199.43276358799255,38.59325789196144,19.35151336100979,267.1520344995552,125.95294154825571,47.146540277785306
2022-03-31,137.3087906749899,42.34852303376213,30.841814879865296,198.43783415831584,19.75990537189567,9.957730820691687
2022-04-28,193.1228625442656,56.96324238598562,29.495856490284318,356.3779016206667,214.61640934302852,60.22158174427691
2022-04-29,190.95656267486208,59.94819024487668,31.39362659504364,279.85815852048137,143.23779388064278,51.18228270988925
2022-04-30,177.42026080807167,66.78090931672884,37.63995668396101,195.0652485778525,58.67551624568153,30.079943338684206
2022-05-28,137.8738020724673,58.55026389410274,42.466562185126634,112.2902581789942,83.52347114006794,74.38176071064767
2022-05-29,169.93352081717126,60.27009466125464,35.46686632009365,264.35745740260165,154.80475102572348,58.558874240481316
2022-05-30,298.37127853574566,53.60780532959747,17.96681154857709,749.5193004915329,512.9727556386148,68.44023300029879
2022-05-31,599.9238864889585,52.53268614337134,8.75655851125011,673.028662814882,581.223714809427,86.35942968290696
2022-06-28,156.5285466109735,38.84326354941481,24.815450210467667,182.14617103596865,125.43269475162884,68.86375598137579
2022-06-29,261.424166331182,42.12700552825191,16.11442664978563,382.1600514754604,310.6656175565328,81.29201792733208
2022-06-30,370.8874827698204,50.53417313157395,13.625203189436402,318.65742808495224,280.64001448098105,88.06950340607281
2022-07-28,468.7906745034666,61.96929950923763,13.218970188533344,820.4252109758121,748.044360802648,91.17764188559315
2022-07-29,380.2779568479474,74.82243330571623,19.675721918226692,404.2198640343721,319.39426385985945,79.0149847343228
2022-07-30,367.6344642289991,63.28847106899191,17.21505387198127,600.536001437768,526.0264006166304,87.59281697637591
2022-07-31,348.60066689077786,48.08408310178045,13.793457003582258,365.5751842248052,313.65863109679464,85.79866594662366
2022-08-28,357.6722620355834,70.43707672097814,19.693189603271676,416.7741834806664,312.89539487830336,75.07552225648308
2022-08-29,659.7983626729362,62.132793956068134,9.416936669008912,911.006857556384,752.1480847551957,82.56228572995606
2022-08-30,558.3202576832193,68.78431310315676,12.319866986123888,501.9139968448309,376.0844756112637,74.93006331272566
2022-08-31,363.0120287254631,77.52570057310031,21.35623462541817,496.0872507388738,444.15691624626476,89.53201590743083
2022-09-28,135.61750344936087,34.777513876241585,25.64382398414184,208.82135093082525,140.62278056849362,67.34118898362875
2022-09-29,160.9454805523925,43.91048611180576,27.2828326468674,317.3490422161658,172.67523824937194,54.41177230078177
2022-09-30,136.6132664545623,42.57967729183221,31.168039822833933,183.83403945197497,40.30045729030166,21.922195372761635
2022-10-28,207.49895124668288,40.58250899525495,19.557934510718983,219.61965136122504,115.68608888467176,52.675654554425144
2022-10-29,153.59608118869872,52.28683212691316,34.04177484364121,361.3580320483551,183.7181287110924,50.84102535916738
2022-10-30,166.63289789050023,48.015242282446714,28.814983649866697,263.0743682513367,195.3631990563244,74.26158631679304
2022-10-31,212.1712298324705,41.55365037211045,19.584959942458287,201.42637972780585,66.26097061839188,32.89587526119098
2022-11-28,161.69155410944646,46.82630913076088,28.960269068268644,245.9464695174449,204.6910682647983,83.22586157321507
2022-11-29,182.19143821580408,51.29013268985686,28.151779903677017,292.60578048320906,196.58560055818006,67.18445556117814
2022-11-30,155.38164723345943,40.48175497227267,26.05311225169934,236.3240144033529,145.92866552648775,61.74940193653775
2022-12-28,411.0963531114894,106.47588782465144,25.900470052522007,808.1967320746846,109.50794387522767,13.549664274701392
2022-12-29,167.33378786072498,52.63794005669877,31.456850842646496,102.01034979712752,-51.89685897375182,-50.87411137885655
2022-12-30,108.39103091988396,43.216704447147556,39.87110748959544,96.1881896385866,-44.020259997050736,-45.76472450770784
Average,281.83735849935886,59.29337271940731,24.333695856904022,513.30282398831,341.97282885930053,57.8897450547506
