episode,timestep,reward
0,0,-145.23855007936137
1,512,-48737.479435933594
2,1024,-14190.903268546122
3,1536,-364.6844875034576
4,2048,14.883464882404418
5,2560,-655.5579866788083
6,3072,-3853.016810639769
7,3584,-3969.0097551944027
8,4096,-1353.848809049442
9,4608,-38.36776144809175
10,5120,18.601697176280712
11,5632,19.345695729625106
12,6144,19.422072009680605
13,6656,25.675838940858892
14,7168,21.062592458829283
15,7680,21.380850430934032
16,8192,21.79272012491103
17,8704,26.05899126476767
18,9216,17.848487758224596
19,9728,27.302415994717816
20,10240,22.82031406876141
21,10752,13.016921000506668
22,11264,-26.96424574529095
23,11776,21.147563809692606
24,12288,-27.784663621023558
25,12800,23.267851089173465
26,13312,22.319423611978962
27,13824,26.7552988515645
28,14336,22.371138319096296
29,14848,23.888314737390463
30,15360,25.28769603737631
31,15872,17.226187509712123
32,16384,20.674546818299895
33,16896,25.559768185760664
34,17408,24.8909807701249
35,17920,20.184131532997128
36,18432,28.31943087194475
37,18944,29.138406706695996
38,19456,28.81285466682863
39,19968,23.225007162297935
40,20480,25.683324353612353
41,20992,22.079231533875202
42,21504,26.872547913408894
43,22016,24.627333453876467
44,22528,27.59397236496877
45,23040,23.706342814776228
46,23552,28.480971034066922
47,24064,27.537213703960123
48,24576,31.119882229706235
49,25088,29.691308636900988
50,25600,26.988061989982473
51,26112,26.67962735647653
52,26624,27.37408056209996
53,27136,26.238738039494557
54,27648,33.078910085391485
55,28160,26.43443030909079
56,28672,31.794440814367594
57,29184,34.22268643227493
58,29696,28.4727003377132
59,30208,33.15612039749689
60,30720,29.707160708333664
61,31232,27.325323590160753
62,31744,31.992296434331813
63,32256,31.56804003180595
64,32768,33.097936996893964
65,33280,28.31749021097844
66,33792,34.25186638389146
67,34304,27.987984666620683
68,34816,35.579612022154905
69,35328,36.953055357913684
70,35840,30.26582012541522
71,36352,31.462416416529063
72,36864,33.53819794461071
73,37376,29.294427014413085
74,37888,36.64042953806991
75,38400,32.06118747521043
76,38912,32.618637644540854
77,39424,29.312695562524556
78,39936,30.624278168371404
79,40448,31.289931051400487
80,40960,35.12970480261448
81,41472,31.216909659102956
82,41984,28.38533580187221
83,42496,31.936998676536614
84,43008,31.521387663732163
85,43520,31.222737173067067
86,44032,28.140203038802824
87,44544,31.992832865953016
88,45056,33.18659445130978
89,45568,34.36600067207686
90,46080,29.868470482663678
91,46592,33.49032593648522
92,47104,31.93764472988698
93,47616,29.6299370398266
94,48128,34.00847146331009
95,48640,32.641146658038245
96,49152,32.86089160200064
97,49664,34.39627352004147
98,50176,30.85003156629411
99,50688,36.40708315532749
100,51200,32.18299508180348
101,51712,36.53254005716797
102,52224,30.33184882895688
103,52736,30.282584630584967
104,53248,26.51965452329274
105,53760,43.13756895342302
106,54272,31.52807148516174
107,54784,31.736528820574378
108,55296,31.37615054682243
109,55808,32.322708545870256
110,56320,34.98368077791502
111,56832,34.47608764312689
112,57344,26.592083142540616
113,57856,35.245037140890176
114,58368,38.08684044961191
115,58880,32.38412190901418
116,59392,29.27558130902688
117,59904,34.03928753993824
118,60416,31.25138102182045
119,60928,31.11213686907343
120,61440,33.82357079607684
121,61952,32.53943174742618
122,62464,35.84899114324113
123,62976,28.724422321121953
124,63488,34.48389687007468
125,64000,27.934031932197776
126,64512,30.934794153387926
127,65024,32.84633319266122
128,65536,31.368987142989212
129,66048,34.033402270480046
130,66560,32.249046717417826
131,67072,35.37005337326385
132,67584,34.2773955713886
133,68096,30.46903573365372
134,68608,32.913768873340665
135,69120,29.489784057036193
136,69632,30.552811092891883
137,70144,27.8842375644302
138,70656,32.653835227164315
139,71168,33.991313161988465
140,71680,37.889900962833984
141,72192,31.563298917426277
142,72704,34.38616475892917
143,73216,30.857842120856052
144,73728,27.7744149520966
145,74240,33.055227132098466
146,74752,32.10076238976483
147,75264,31.97604951025583
148,75776,31.30050054130719
149,76288,33.762207228650986
150,76800,28.70866845136132
151,77312,33.737070809077906
152,77824,32.37619850145704
153,78336,35.337480981200876
154,78848,27.785081866049605
155,79360,36.47007912595534
156,79872,32.68972161696535
157,80384,31.2389783420659
158,80896,33.20561376184289
159,81408,32.86691605145615
160,81920,31.27029483881297
161,82432,28.488817651937698
162,82944,35.57459613682132
163,83456,32.69983117073355
164,83968,35.26833344276274
165,84480,37.244667077809886
166,84992,30.013408453581228
167,85504,33.33315805381353
168,86016,33.55529022186083
169,86528,37.28958090945684
170,87040,34.553738364488375
171,87552,31.28261847604878
172,88064,32.61110900052569
173,88576,33.860774211760486
174,89088,32.56615222097579
175,89600,32.208254555150816
176,90112,33.38381286125394
177,90624,35.64307602554999
178,91136,31.169049971763044
179,91648,39.99538410644367
180,92160,31.184545184479276
181,92672,33.24105194792141
182,93184,27.6661628449902
183,93696,29.54028639135269
184,94208,30.15202949093817
185,94720,39.49198020893817
186,95232,32.61490331865196
187,95744,40.59969983344834
188,96256,34.745926851880476
189,96768,38.667046093571216
190,97280,31.142026035368442
191,97792,35.36241472876645
192,98304,29.523218844270882
193,98816,35.29739623082877
194,99328,31.103067911887855
195,99840,30.418540259002288
196,100352,34.372209357619994
197,100864,33.03515509052827
198,101376,34.40683878370454
199,101888,37.904226610314154
