episode,timestep,reward
0,0,-156851.0847706617
1,512,-5295.494316496268
2,1024,-6245.220823568316
3,1536,-5389.26925538859
4,2048,-1066.9368895684538
5,2560,21.47740236653022
6,3072,21.893995263928
7,3584,22.446761145159
8,4096,29.26288972266904
9,4608,26.913919496047495
10,5120,33.904480516336996
11,5632,-17.31172429598794
12,6144,16.013377465505762
13,6656,26.02427124715999
14,7168,28.29389246977182
15,7680,27.926650972145694
16,8192,21.362806746072028
17,8704,27.07846811814471
18,9216,33.361233614893
19,9728,29.57147814553153
