episode,timestep,reward
0,0,-500.68332321465834
1,512,-49156.429384418654
2,1024,-15676.643645851671
3,1536,-561.9603228248644
4,2048,8.177441126533576
5,2560,-915.4019791136456
6,3072,-2643.47078140622
7,3584,-2745.1837769621175
8,4096,-410.4627740427423
9,4608,-2.6292025595321085
10,5120,14.183438581475682
11,5632,20.119124293509223
12,6144,24.61476717443824
13,6656,24.968974244569132
14,7168,3.720671682239626
15,7680,17.072637410695627
16,8192,23.814086650197275
17,8704,23.14805723677922
18,9216,22.154908474277626
19,9728,21.067928028885653
20,10240,30.876677204132776
21,10752,25.282518986815187
22,11264,25.736644442139518
23,11776,30.05092112352056
24,12288,24.108126247585425
25,12800,33.3230738336251
26,13312,23.06806324577193
27,13824,27.468779520037135
28,14336,27.936284236229994
29,14848,21.93113139067366
30,15360,31.51513742013775
31,15872,31.13532953476218
32,16384,30.511192338322445
33,16896,27.100466818869403
34,17408,28.601073577625773
35,17920,31.98427092083061
36,18432,28.276671374342417
37,18944,32.97701950667217
38,19456,28.828951464598894
39,19968,8.155955538397242
40,20480,24.52104032783879
41,20992,38.9053698361398
42,21504,27.808521591712832
43,22016,29.0157001224501
44,22528,29.018545075427987
45,23040,32.098992955667754
46,23552,30.96770800023437
47,24064,36.53919307024129
48,24576,23.670535624677463
49,25088,30.467854281731032
50,25600,25.71012085846664
51,26112,27.464508544210023
52,26624,26.365207925612644
53,27136,30.866012759371017
54,27648,40.629632190910385
55,28160,27.47897967681297
56,28672,28.768816923924955
57,29184,31.200432788595556
58,29696,32.16392925756599
59,30208,33.851250316882194
60,30720,34.207811219430944
61,31232,31.408086121971166
62,31744,25.382939012916694
63,32256,37.68641133660212
64,32768,35.71020378251408
65,33280,34.295354738821096
66,33792,31.40194768938858
67,34304,30.597054146180174
68,34816,36.05142095734001
69,35328,26.316875502030946
70,35840,36.10030858588404
71,36352,41.68058484359929
72,36864,36.39000018665095
73,37376,38.5895316282681
74,37888,34.21519290827207
75,38400,33.1786515099131
76,38912,31.32854433199909
77,39424,44.9390833829629
78,39936,34.38485905067723
79,40448,37.50410141256063
80,40960,35.80733868057703
81,41472,32.77518276706248
82,41984,37.831149946189754
83,42496,40.412521908227575
84,43008,27.366163245191174
85,43520,29.56736764741963
86,44032,32.17345618986821
87,44544,36.58536117911825
88,45056,31.95341131542459
89,45568,36.66070665867357
90,46080,37.5165961657866
91,46592,34.91014083508265
92,47104,33.25469797554626
93,47616,32.204179022401895
94,48128,31.515923358196872
95,48640,34.75226341693986
96,49152,40.307370716496536
97,49664,31.708975390358226
98,50176,32.80593314137195
99,50688,29.57435168900094
